#   R_nom       meanR       meanlogR       xip          xim         xip_im       xim_im      sigma_xi      weight       npairs   
  2.8050e+00   2.7999e+00   1.0274e+00   1.5874e-05   6.6383e-07  -3.0894e-08   9.0102e-09   1.0183e-09   3.8391e+08   3.8391e+08
  3.5313e+00   3.5669e+00   1.2700e+00   1.2398e-05   1.3477e-06  -2.4691e-08  -1.4388e-08   8.7400e-10   5.2110e+08   5.2110e+08
  4.4457e+00   4.4851e+00   1.4988e+00   9.7541e-06   2.2998e-06  -2.8233e-08  -7.7409e-10   6.8671e-10   8.4410e+08   8.4410e+08
  5.5968e+00   5.6574e+00   1.7306e+00   8.2703e-06   3.1321e-06  -2.8756e-08   3.3348e-10   5.3458e-10   1.3929e+09   1.3929e+09
  7.0460e+00   7.1425e+00   1.9639e+00   7.2877e-06   3.0497e-06  -2.7002e-08  -1.1114e-09   4.3469e-10   2.1066e+09   2.1066e+09
  8.8703e+00   8.9769e+00   2.1925e+00   5.7207e-06   2.3709e-06  -2.6959e-08  -9.5936e-10   3.4508e-10   3.3428e+09   3.3428e+09
  1.1167e+01   1.1293e+01   2.4220e+00   4.7111e-06   2.3554e-06  -2.6019e-08  -1.8375e-09   2.7465e-10   5.2769e+09   5.2769e+09
  1.4059e+01   1.4209e+01   2.6517e+00   3.8742e-06   2.0226e-06  -2.6398e-08  -5.7523e-10   2.1816e-10   8.3634e+09   8.3634e+09
  1.7699e+01   1.7891e+01   2.8821e+00   3.2211e-06   1.8209e-06  -2.7967e-08   2.6424e-09   1.7390e-10   1.3163e+10   1.3163e+10
  2.2281e+01   2.2523e+01   3.1124e+00   2.6618e-06   1.5499e-06  -2.9307e-08   1.7644e-09   1.3841e-10   2.0777e+10   2.0777e+10
  2.8050e+01   2.8354e+01   3.3426e+00   2.2259e-06   1.3034e-06  -2.8204e-08   1.7962e-10   1.1024e-10   3.2752e+10   3.2752e+10
  3.5313e+01   3.5699e+01   3.5730e+00   1.8594e-06   1.0830e-06  -2.5489e-08   2.1519e-09   8.7792e-11   5.1646e+10   5.1646e+10
  4.4457e+01   4.4944e+01   3.8032e+00   1.5472e-06   8.9762e-07  -2.2592e-08  -2.8970e-09   6.9994e-11   8.1250e+10   8.1250e+10
  5.5968e+01   5.6582e+01   4.0335e+00   1.3015e-06   7.4855e-07  -2.4268e-08  -1.9736e-09   5.5751e-11   1.2807e+11   1.2807e+11
  7.0460e+01   7.1231e+01   4.2637e+00   1.0704e-06   6.0656e-07  -2.2180e-08   1.2728e-09   4.4493e-11   2.0108e+11   2.0108e+11
  8.8703e+01   8.9664e+01   4.4939e+00   8.6197e-07   5.0683e-07  -2.2466e-08   3.7394e-09   3.5506e-11   3.1575e+11   3.1575e+11
  1.1167e+02   1.1288e+02   4.7242e+00   6.8487e-07   4.3010e-07  -2.2537e-08   8.1128e-09   2.8374e-11   4.9443e+11   4.9443e+11
  1.4059e+02   1.4209e+02   4.9543e+00   5.2775e-07   3.5675e-07  -2.1955e-08   6.3052e-09   2.2718e-11   7.7129e+11   7.7129e+11
  1.7699e+02   1.7889e+02   5.1846e+00   3.6607e-07   3.0629e-07  -1.9336e-08  -1.1941e-10   1.8205e-11   1.2011e+12   1.2011e+12
  2.2281e+02   2.2521e+02   5.4149e+00   2.4745e-07   2.7678e-07  -1.1085e-08   4.3253e-09   1.4641e-11   1.8570e+12   1.8570e+12
