#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8358e+00   1.0401e+00   5.6504e-05   4.2061e-07   7.8118e-07   9.9900e+06   9.9900e+06
  3.5313e+00   3.5695e+00   1.2702e+00   6.4955e-05  -5.9505e-07   6.2733e-07   1.5491e+07   1.5491e+07
  4.4457e+00   4.5083e+00   1.5039e+00   5.9554e-05   6.8449e-07   4.9358e-07   2.5024e+07   2.5024e+07
  5.5968e+00   5.6565e+00   1.7306e+00   4.4748e-05   2.0096e-07   3.9765e-07   3.8553e+07   3.8553e+07
  7.0460e+00   7.1241e+00   1.9613e+00   2.8863e-05  -2.9151e-07   3.1255e-07   6.2406e+07   6.2406e+07
  8.8703e+00   8.9667e+00   2.1913e+00   2.8119e-05  -4.7009e-07   2.5106e-07   9.6723e+07   9.6723e+07
  1.1167e+01   1.1289e+01   2.4216e+00   2.0992e-05   6.1441e-08   1.9884e-07   1.5420e+08   1.5420e+08
  1.4059e+01   1.4215e+01   2.6521e+00   1.7810e-05  -2.7628e-07   1.5840e-07   2.4299e+08   2.4299e+08
  1.7699e+01   1.7895e+01   2.8824e+00   1.4291e-05  -1.1144e-07   1.2633e-07   3.8199e+08   3.8199e+08
  2.2281e+01   2.2524e+01   3.1124e+00   1.1057e-05   6.9955e-08   1.0043e-07   6.0449e+08   6.0449e+08
  2.8050e+01   2.8365e+01   3.3430e+00   1.0050e-05   7.8123e-08   8.0029e-08   9.5187e+08   9.5187e+08
  3.5313e+01   3.5693e+01   3.5728e+00   7.6809e-06  -3.1383e-07   6.3773e-08   1.4990e+09   1.4990e+09
  4.4457e+01   4.4950e+01   3.8034e+00   5.6078e-06  -3.0782e-07   5.0751e-08   2.3670e+09   2.3670e+09
  5.5968e+01   5.6578e+01   4.0334e+00   4.9572e-06  -3.1962e-07   4.0515e-08   3.7140e+09   3.7140e+09
  7.0460e+01   7.1218e+01   4.2636e+00   6.4570e-06  -2.7365e-07   3.2251e-08   5.8613e+09   5.8613e+09
  8.8703e+01   8.9671e+01   4.4940e+00   4.7090e-06  -5.0779e-07   2.5769e-08   9.1806e+09   9.1806e+09
  1.1167e+02   1.1287e+02   4.7241e+00   2.7454e-06  -1.0537e-06   2.0586e-08   1.4386e+10   1.4386e+10
  1.4059e+02   1.4211e+02   4.9544e+00   1.6095e-06  -1.1179e-06   1.6474e-08   2.2463e+10   2.2463e+10
  1.7699e+02   1.7889e+02   5.1846e+00   2.2790e-06  -1.4463e-06   1.3213e-08   3.4922e+10   3.4922e+10
  2.2281e+02   2.2521e+02   5.4149e+00   3.2705e-06  -1.9443e-06   1.0614e-08   5.4113e+10   5.4113e+10
