#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  2.8050e+00   2.8329e+00   1.0391e+00   2.0529e-01   3.7246e-03   8.6822e+04   7.2086e+04   7.2055e+04   8.6822e+04
  3.5313e+00   3.5675e+00   1.2697e+00   1.5209e-01   2.9655e-03   1.3088e+05   1.1371e+05   1.1365e+05   1.3088e+05
  4.4457e+00   4.4929e+00   1.5003e+00   1.2088e-01   2.3617e-03   2.0062e+05   1.7929e+05   1.7912e+05   2.0062e+05
  5.5968e+00   5.6579e+00   1.7309e+00   1.0641e-01   1.8803e-03   3.1263e+05   2.8283e+05   2.8268e+05   3.1263e+05
  7.0460e+00   7.1200e+00   1.9607e+00   1.0263e-01   1.4968e-03   4.9144e+05   4.4632e+05   4.4598e+05   4.9144e+05
  8.8703e+00   8.9630e+00   2.1909e+00   8.0752e-02   1.1913e-03   7.5999e+05   7.0459e+05   7.0384e+05   7.5999e+05
  1.1167e+01   1.1289e+01   2.4217e+00   6.7406e-02   9.4822e-04   1.1887e+06   1.1122e+06   1.1130e+06   1.1887e+06
  1.4059e+01   1.4208e+01   2.6517e+00   6.3952e-02   7.5471e-04   1.8558e+06   1.7556e+06   1.7496e+06   1.8558e+06
  1.7699e+01   1.7888e+01   2.8820e+00   4.3427e-02   6.0122e-04   2.8953e+06   2.7666e+06   2.7708e+06   2.8953e+06
  2.2281e+01   2.2522e+01   3.1123e+00   3.8722e-02   4.7865e-04   4.5232e+06   4.3648e+06   4.3595e+06   4.5232e+06
  2.8050e+01   2.8354e+01   3.3426e+00   3.2224e-02   3.8111e-04   7.0741e+06   6.8847e+06   6.8685e+06   7.0741e+06
  3.5313e+01   3.5697e+01   3.5729e+00   1.7108e-02   3.0376e-04   1.1078e+07   1.0838e+07   1.0866e+07   1.1078e+07
  4.4457e+01   4.4936e+01   3.8031e+00   1.8821e-02   2.4195e-04   1.7328e+07   1.7083e+07   1.7045e+07   1.7328e+07
  5.5968e+01   5.6574e+01   4.0334e+00   1.1544e-02   1.9287e-04   2.7188e+07   2.6883e+07   2.6880e+07   2.7188e+07
  7.0460e+01   7.1224e+01   4.2636e+00   3.9682e-03   1.5385e-04   4.2580e+07   4.2247e+07   4.2330e+07   4.2580e+07
  8.8703e+01   8.9665e+01   4.4939e+00   6.1971e-03   1.2275e-04   6.6639e+07   6.6367e+07   6.6297e+07   6.6639e+07
  1.1167e+02   1.1287e+02   4.7241e+00   1.6391e-03   9.8129e-05   1.0419e+08   1.0385e+08   1.0393e+08   1.0419e+08
  1.4059e+02   1.4211e+02   4.9544e+00   1.0438e-04   7.8556e-05   1.6236e+08   1.6205e+08   1.6219e+08   1.6236e+08
  1.7699e+02   1.7889e+02   5.1846e+00   1.8378e-03   6.2964e-05   2.5270e+08   2.5224e+08   2.5224e+08   2.5270e+08
  2.2281e+02   2.2521e+02   5.4148e+00  -9.0343e-04   5.0624e-05   3.9061e+08   3.9021e+08   3.9058e+08   3.9061e+08
